Address Count,Avg Gas Price,Block Difficulty,Block Size,Block Time,Unique Daily Active Eth Address Total Count,Unique Daily Active Eth Address Receive Count,Unique Daily Active Eth Address Sent Count,Gas Limit,Gas Used,Uncles,Network Hash,Verified Contracts,Network Utilization,No. of ERC20 Token Transfers,Transaction Fee,Tx Growth,Supply,MarketCap,Price,weekday,day,Next Price
9205,0.0,0.121,644,4.46,8894,1,8893,0,0.0,1299,11.5297,0,0.0,0,0.0,8893,72049306.59,0.0,0.0,1,3,0.0
9361,0.0,0.603,582,12.58,0,0,0,0,0.0,511,51.4594,0,0.0,0,0.0,0,72085498.31,0.0,0.0,1,4,0.0
9476,0.0,0.887,575,16.34,0,0,0,0,0.0,334,57.7845,0,0.0,0,0.0,0,72113204.25,0.0,0.0,0,5,0.0
9563,0.0,1.02,581,16.12,0,0,0,0,0.0,394,67.9224,0,0.0,0,0.0,0,72141427.69,0.0,0.0,0,6,0.0
9639,0.0,1.126,587,16.37,0,0,0,0,0.0,443,74.5737,0,0.0,0,0.0,0,72169404.41,0.0,0.0,1,0,0.0
9696,0.0,1.217,587,16.1,0,0,0,0,0.0,458,82.0352,0,0.0,0,0.0,0,72197882.84,0.0,0.0,1,1,0.0
9749,0.0,1.328,579,16.51,0,0,0,0,0.0,371,86.1558,0,0.0,0,0.0,0,72225411.44,0.0,0.0,1,2,0.0
9790,0.0,1.381,584,16.89,0,0,0,0,0.0,411,88.3326,0,0.0,0,0.0,0,72252486.91,0.0,0.0,1,3,2.77
10314,605000000000.0,1.4709999999999999,633,16.65,1087,784,609,122980,49353826.0,409,95.2981,0,0.1317,0,3.73e+19,2050,72279924.56,200.21539099999998,2.77,1,4,0.81
10730,323000000000.0,1.5859999999999999,668,16.44,827,605,477,1940277,376006093.0,458,104.8971,0,0.0468,0,6.81e+19,2881,72307868.0,58.56937308,0.81,0,5,0.74
11004,475000000000.0,1.709,618,16.86,733,462,500,3141325,38863003.0,421,109.6916,0,0.0024,0,1.41e+19,1329,72335046.28,53.52793425,0.74,0,6,0.68
11679,422000000000.0,1.838,631,16.44,1002,821,763,3141511,74070061.0,415,120.5988,0,0.0045,0,3.12e+19,2037,72362863.63,49.20674727,0.68,1,0,1.06
13576,77838819162.0,2.036,692,16.37,2343,2132,2112,3141521,163481740.0,438,134.7695,0,0.0099,0,1.13e+19,4963,72390891.44,76.73434492,1.06,1,1,1.25
13913,445000000000.0,2.207,653,16.86,907,581,685,3141555,70102332.0,474,143.0004,0,0.0044,0,3.26e+19,2036,72418262.38,90.52282797,1.25,1,2,1.78
14459,269000000000.0,2.3369999999999997,666,16.34,1275,872,993,3141552,88234087.0,504,156.6101,0,0.0053,0,2.49e+19,2842,72446530.5,128.9548243,1.78,1,3,1.8
15024,193000000000.0,2.6710000000000003,660,14.88,1595,1115,1188,3141575,78746522.0,555,196.7576,0,0.0043,0,1.44e+19,3174,72477637.22,130.459747,1.8,1,4,1.79
15407,144000000000.0,3.378,638,16.04,1314,857,1064,3141584,59565914.0,441,227.665,0,0.0035,0,8.84e+18,2284,72506149.88,129.7860083,1.79,0,5,1.37
15698,121000000000.0,3.6319999999999997,641,16.84,1203,765,989,3141581,58241191.0,385,231.8948,0,0.0036,0,6.68e+18,2440,72533244.41,99.37054484,1.37,0,6,1.2
15984,132000000000.0,3.908,635,16.16,1250,816,1000,3141589,60515132.0,377,258.9066,0,0.0036,0,7.64e+18,2512,72561363.31,87.07363598,1.2,1,0,1.27
16268,147000000000.0,4.378,648,17.46,1295,834,1048,3141585,66816413.0,390,270.4645,0,0.0043,0,1.19e+19,2494,72587526.13,92.18615818,1.27,1,1,1.26
16553,195000000000.0,4.42,653,16.64,1351,823,1148,3141611,91746712.0,361,284.0496,0,0.0056,0,1.54e+19,3246,72614808.16,91.49465828,1.26,1,2,1.48
16773,99011782801.0,4.468999999999999,650,21.47,1168,658,992,3141608,63112713.0,257,221.4382,0,0.005,0,6.86e+18,2303,72635865.19,107.5010805,1.48,1,3,1.44
17070,79543407701.0,4.415,668,16.98,1426,913,1231,3141620,106379973.0,338,277.282,0,0.0067,0,7.86e+18,3919,72662556.13,104.63408079999999,1.44,1,4,1.39
17313,553000000000.0,4.828,648,16.39,1415,840,1242,3141669,90744195.0,323,312.6127,0,0.0055,0,4.25e+19,3579,72690106.59,101.0392482,1.39,0,5,1.35
17662,73439482806.0,5.138,681,17.24,1571,885,1417,3141828,117802449.0,320,317.1623,0,0.0075,0,8.05e+18,4190,72716362.22,98.167089,1.35,0,6,1.24
17839,92409814705.0,5.178999999999999,673,16.67,1437,873,1290,3141762,97648912.0,377,333.3458,0,0.006,0,8.88e+18,4432,72743695.5,90.20218242,1.24,1,0,1.17
18089,76432335617.0,5.172999999999999,680,16.95,1581,951,1406,3141658,114480057.0,335,325.2465,0,0.0071,0,8.26e+18,4487,72770431.59,85.14140496,1.17,1,1,1.16
